ID,Kohorte,Klasse,Geschlecht,Augenfarbe,Groesse,Gewicht,Statistik
1,phy14,2,w,blau,170,62,3
2,phy14,1,w,gruen,160,56,2
3,phy14,1,w,blau,169,68,2
4,phy14,1,m,blau,182,70,2
5,phy14,1,w,gruen,173,73,2
6,phy14,1,m,gruen,190,90,3
7,phy14,2,w,blau,172,62,3
8,phy14,1,w,blau,170,59,2
9,phy14,1,w,blau,167,60,2
10,phy14,2,w,braun,175,62,5
11,phy14,1,w,gruen,173,73,2
12,phy14,2,w,gruen,169,63,2
13,phy14,1,w,blau,169,51,3
14,phy14,1,w,blau,169,59,2
15,phy14,1,w,gruen,180,70,3
16,phy14,1,w,braun,164,60,4
17,phy14,1,w,braun,165,65,4
18,phy14,2,w,braun,168,51,3
19,phy14,2,w,braun,167,69,2
20,phy14,2,m,blau,174,70,3
21,phy14,2,w,blau,156,48,3
22,phy14,2,w,gruen,161,59,4
23,phy14,2,w,blau,170,55,4
24,phy14,2,w,blau,168,65,4
25,phy14,2,w,blau,170,65,3
26,phy14,1,w,blau,175,60,2
27,phy14,1,w,blau,165,65,4
28,phy14,2,w,braun,165,57,3
29,phy14,2,m,braun,180,80,3
30,phy14,1,w,braun,164,62,5
31,phy14,1,w,braun,170,60,4
32,phy14,1,w,braun,170,60,4
33,phy14,2,m,gruen,173,70,3
34,phy14,2,w,blau,170,60,2
35,phy14,1,m,gruen,182,56,4
36,phy14,2,w,braun,171,60,3
37,phy14,2,w,blau,164,65,3
38,phy14,1,w,blau,168,62,2
39,phy14,1,w,blau,168,65,3
40,phy14,1,m,gruen,176,71,4
41,phy14,2,m,gruen,183,69,3
42,phy14,1,w,gruen,170,65,4
43,phy14,2,w,braun,164,54,4
44,phy13,2,w,braun,170,56,NA
45,phy13,2,w,braun,165,54,NA
46,phy13,2,w,blau,172,64,NA
47,phy13,1,w,blau,167,65,NA
48,phy13,2,w,blau,164,53,NA
49,phy13,1,m,gruen,180,77,NA
50,phy13,2,w,gruen,162,54,NA
51,phy13,2,w,braun,172,63,NA
52,phy13,1,w,blau,162,63,NA
53,phy13,1,w,blau,168,59,NA
54,phy13,2,w,braun,170,60,NA
55,phy13,2,w,braun,165,56,NA
56,phy13,2,w,braun,172,60,NA
57,phy13,1,w,braun,162,47,NA
58,phy13,1,w,blau,165,64,NA
59,phy13,1,w,braun,174,64,NA
60,phy13,1,m,blau,180,68,NA
61,phy13,1,w,blau,167,57,NA
62,phy13,1,w,blau,168,67,NA
63,phy13,2,m,gruen,187,75,NA
64,phy13,1,w,blau,169,53,NA
65,phy13,2,w,blau,164,60,NA
66,phy13,2,w,blau,165,63,NA
67,phy13,1,w,gruen,162,61,NA
68,phy13,2,w,blau,163,55,NA
69,phy13,2,w,braun,165,60,NA
70,phy13,1,w,braun,161,70,NA
71,phy13,2,w,blau,157,55,NA
72,phy13,2,m,gruen,171,65,NA
73,phy13,1,w,blau,170,49,NA
74,phy13,1,w,braun,171,62,NA
75,phy13,2,w,braun,163,48,NA
76,phy13,2,m,blau,184,73,NA
77,phy13,2,w,blau,171,66,NA
78,phy13,2,w,braun,161,57,NA
79,phy13,2,w,braun,164,53,NA
80,phy13,1,w,blau,166,56,NA
81,phy13,1,w,blau,164,66,NA
82,phy13,2,w,gruen,174,63,NA
83,phy13,1,w,blau,164,53,NA
84,phy13,2,w,blau,181,65,NA
85,phy13,1,w,gruen,168,64,NA
86,phy13,2,m,braun,176,75,NA
87,phy13,1,w,blau,163,57,NA
88,phy13,1,m,blau,186,75,NA
89,phy13,1,w,blau,169,66,NA
90,phy13,1,w,blau,160,55,NA
91,phy15,1,w,braun,160,50,3
92,phy15,2,w,gruen,148,52,2
93,phy15,1,w,gruen,163,65,2
94,phy15,1,w,blau,165,60,2
95,phy15,1,w,blau,155,51,3
96,phy15,2,w,blau,158,50,3
97,phy15,2,w,blau,174,77,3
98,phy15,1,w,gruen,168,65,2
99,phy15,2,m,blau,172,72,1
100,phy15,2,m,gruen,185,78,3
101,phy15,1,m,blau,179,63,3
102,phy15,1,w,blau,163,53,3
103,phy15,2,w,braun,170,58,3
104,phy15,2,w,braun,178,62,4
105,phy15,2,w,braun,159,58,4
106,phy15,2,w,blau,170,63,2
107,phy15,2,m,braun,184,75,3
108,phy15,2,w,gruen,163,53,2
109,phy15,2,w,blau,171,60,3
110,phy15,1,w,blau,172,63,3
