name,value
maenner,200.75400652430906
frauen,200.02316587280365
maenner,171.3674332431707
frauen,165.85664887024777
maenner,201.99007505979898
frauen,177.22597845022796
maenner,200.92921481808767
frauen,157.96567522883348
maenner,185.0673707682601
frauen,172.00379922559216
maenner,148.9239072733945
frauen,169.50129264435424
maenner,160.22933844354856
frauen,185.8538715183678
maenner,171.9501564707517
frauen,174.69860451418973
maenner,177.29335592619213
frauen,180.71919064433138
maenner,221.86581448305637
frauen,144.10368423282443
maenner,191.52004130860306
frauen,152.01485099021784
maenner,162.62506520048566
frauen,185.19814389832493
maenner,156.1780210240115
frauen,159.48121143444962
maenner,172.0474012865085
frauen,137.71537707990035
maenner,171.8670429490602
frauen,169.70737645834322
maenner,169.7905189689214
frauen,151.40767550325134
maenner,182.06400733925062
frauen,145.6401040329928
maenner,160.9069787757686
frauen,175.56603034741096
maenner,185.45646786862625
frauen,165.57254784597015
maenner,154.51597266360017
frauen,161.14994638113745
maenner,173.2529348855434
frauen,146.67564202299477
maenner,184.37863769418573
frauen,204.30635401972674
maenner,179.86559853961091
frauen,174.110320134927
maenner,192.2707259496223
frauen,179.72134898156065
maenner,176.34400613109477
frauen,167.75274834319583
maenner,186.71250165587
frauen,188.21217457035215
maenner,197.4775792687054
frauen,183.14214107931488
maenner,164.6231792762006
frauen,183.6913730182637
maenner,153.6457421851291
frauen,191.1534199128268
maenner,178.26404024532508
frauen,162.5754682340191
maenner,173.04141590649095
frauen,128.21597165150985
maenner,167.36114427793646
frauen,146.86035694215803
maenner,169.38741229031004
frauen,178.98765484415793
maenner,165.39025011577152
frauen,150.40378899376913
maenner,190.83876171859086
frauen,185.764919080997
maenner,198.70065588472187
frauen,196.57327335434007
maenner,195.74660203078457
frauen,169.24964251577353
maenner,169.4576286240666
frauen,166.3294526712491
maenner,200.29818594117847
frauen,153.79706041636481
maenner,172.23444890518596
frauen,180.35785024221974
maenner,209.9063865889788
frauen,148.92122826345275
maenner,187.76907512952184
frauen,141.2589176393505
maenner,169.0273138499965
frauen,178.40995366882004
maenner,162.01421383286447
frauen,201.5282101729585
maenner,155.8282800305361
frauen,158.5434619719411
maenner,157.6955580700378
frauen,163.3852232483868
maenner,148.4832160272874
frauen,166.34321668992646
maenner,198.78618388677424
frauen,130.53092906044597
maenner,192.7858570352341
frauen,151.77289799433098
maenner,173.19633577695373
frauen,183.8642661587101
maenner,182.32129743353252
frauen,167.39933358199926
maenner,170.43417562072932
frauen,166.04793273819516
maenner,222.54466291771055
frauen,138.72381049585815
maenner,162.6929316953279
frauen,170.55862144493074
maenner,176.3852293986882
frauen,141.38759116528556
maenner,182.02550557519712
frauen,163.23061756843606
maenner,188.8322886302407
frauen,158.57217381189253
maenner,174.207920559515
frauen,155.68394484046843
maenner,136.27659424383444
frauen,185.7542807673428
maenner,154.0337871892179
