year,win_sec,sex
1900,11,m
1904,11,m
1908,10.8,m
1912,10.8,m
1916,NA,m
1920,10.8,m
1924,10.6,m
1928,10.8,m
1932,10.3,m
1936,10.3,m
1940,NA,m
1944,NA,m
1948,10.3,m
1952,10.4,m
1956,10.5,m
1960,10.2,m
1964,10,m
1968,9.95,m
1972,10.14,m
1976,10.06,m
1980,10.25,m
1984,9.99,m
1988,9.92,m
1992,9.96,m
1996,9.84,m
2000,9.87,m
2004,9.85,m
1900,NA,f
1904,NA,f
1908,NA,f
1912,NA,f
1916,NA,f
1920,NA,f
1924,NA,f
1928,12.2,f
1932,11.9,f
1936,11.5,f
1940,NA,f
1944,NA,f
1948,11.9,f
1952,11.5,f
1956,11.5,f
1960,11,f
1964,11.4,f
1968,11.08,f
1972,11.07,f
1976,11.08,f
1980,11.06,f
1984,10.97,f
1988,10.54,f
1992,10.82,f
1996,10.94,f
2000,10.75,f
2004,10.93,f
