Groesse,Geschlecht,Geschlecht_code
157.0,f,1
173.0,f,1
160.0,f,1
168.0,f,1
165.0,f,1
170.0,f,1
160.0,f,1
176.0,f,1
170.0,f,1
170.0,f,1
171.0,f,1
167.0,f,1
175.0,f,1
173.0,f,1
160.0,f,1
170.0,f,1
163.0,f,1
169.0,f,1
164.0,f,1
180.0,f,1
165.0,f,1
171.0,f,1
174.0,f,1
168.0,f,1
160.0,f,1
170.0,m,2
171.0,m,2
162.0,m,2
168.0,m,2
164.0,m,2
185.0,m,2
168.0,m,2
169.0,m,2
168.0,m,2
163.0,m,2
176.0,m,2
172.0,m,2
168.0,m,2
174.0,m,2
172.0,m,2
158.0,m,2
170.0,m,2
174.0,m,2
176.0,m,2
170.0,m,2
174.0,m,2
163.0,m,2
157.0,m,2
185.0,m,2
190.0,m,2
